0.00020749	10.199	2.8955
0.00018335	10.22	2.7374
0.0001724	10.241	2.6181
0.00016423	10.262	2.0701
0.0001729	10.283	1.0632
0.0002282	10.303	1.7531
0.00023435	10.324	1.1598
0.00019009	10.345	1.4646
0.00017512	10.366	1.8346
2.737e-05	10.387	1.5173
0.00014382	10.408	0.61327
0.00014868	10.429	-0.44236
7.986e-05	10.45	0.17412
5.1191e-05	10.471	-0.32717
5.9823e-05	10.492	-1.0944
3.4219e-05	10.513	0.95012
0.00014351	10.534	-1.1274
5.173e-05	10.555	0.09293
6.2797e-05	10.576	-1.5084
0.00016125	10.597	1.0416
7.7421e-05	10.618	2.6599
5.5662e-05	10.639	3.0124
6.2529e-05	10.659	-1.8584
9.2384e-05	10.68	2.8751
3.1922e-05	10.701	-2.2661
0.00019561	10.722	-1.3263
4.9883e-05	10.743	2.6779
0.00026637	10.764	-1.4709
0.00013457	10.785	-2.6577
5.0019e-05	10.806	-1.0641
0.00015941	10.827	-1.4246
0.00020445	10.848	-1.9025
0.00018174	10.869	-2.8585
0.00014314	10.89	-2.7981
7.2818e-05	10.911	2.1896
0.00012552	10.932	1.5378
6.917e-05	10.953	2.0944
0.0001255	10.974	-2.282
9.3051e-05	10.995	-2.8613
0.00010918	11.015	2.7891
0.00026196	11.036	3.0916
0.00016127	11.057	2.8921
0.00013115	11.078	2.4357
0.00010355	11.099	1.5052
0.00025283	11.12	1.0776
6.8909e-05	11.141	1.1096
0.00022915	11.162	0.64795
0.00020105	11.183	0.95695
0.00014414	11.204	-0.69518
0.00022074	11.225	-0.07703
9.6381e-05	11.246	0.22944
0.00013871	11.267	0.022346
0.00014675	11.288	-0.10115
0.00020337	11.309	0.38672
0.00023378	11.33	0.13683
0.00010877	11.351	1.3034
6.9718e-05	11.372	2.0943
0.00024924	11.392	-0.12797
0.00022052	11.413	0.8105
3.1586e-05	11.434	-0.42436
7.7389e-05	11.455	-1.4547
0.00015827	11.476	-1.6938
0.00022302	11.497	-0.93223
0.00011301	11.518	-1.3131
0.00026467	11.539	-1.7697
0.00010435	11.56	-0.60804
0.00012995	11.581	2.7297
0.00011197	11.602	-2.3476
5.6315e-05	11.623	-2.6405
8.5934e-05	11.644	-3.024
0.00013405	11.665	-2.916
7.0114e-05	11.686	2.7174
5.5647e-05	11.707	-1.2622
7.5574e-05	11.728	2.4667
2.2916e-05	11.748	-2.2612
0.00011992	11.769	2.7996
2.4432e-05	11.79	-1.163
4.0756e-05	11.811	2.3781
8.1479e-05	11.832	3.0494
0.00021234	11.853	2.57
0.00018958	11.874	-2.6223
0.0001492	11.895	-2.9953
5.8136e-05	11.916	2.6636
0.00011724	11.937	2.9372
8.0786e-05	11.958	2.5171
0.00015818	11.979	2.4233
7.9793e-05	12	1.7458
0.00010048	12.021	1.6934
3.8915e-05	12.042	-0.53913
0.00010762	12.063	0.99149
3.7558e-05	12.084	0.042901
1.9818e-05	12.104	1.6865
0.00012456	12.125	-0.17493
6.996e-05	12.146	0.68775
5.5878e-05	12.167	-1.7213
4.2922e-05	12.188	0.36387
8.3538e-05	12.209	-2.2258
4.542e-05	12.23	-1.2434
4.1825e-05	12.251	-2.1894
0.00010492	12.272	-2.318
1.9749e-05	12.293	-0.69621
4.2658e-05	12.314	2.1749
9.466e-05	12.335	-2.3882
5.6486e-05	12.356	-1.7279
6.2806e-05	12.377	2.3053
2.5e-05	12.398	2.1982
3.3697e-05	12.419	-1.381
8.167e-05	12.44	0.88296
0.00013964	12.46	0.4454
0.00012569	12.481	-0.61806
0.00013995	12.502	-0.64981
7.8423e-05	12.523	-1.314
0.00010735	12.544	-2.3651
8.2661e-05	12.565	-0.54628
0.0001187	12.586	-1.1924
9.9589e-05	12.607	-1.5678
2.9103e-05	12.628	-1.8356
0.00014588	12.649	-1.5965
9.9465e-05	12.67	-2.8165
8.8362e-05	12.691	2.6356
0.00014302	12.712	2.8912
8.9557e-05	12.733	2.6526
0.00015306	12.754	2.6502
0.00011865	12.775	1.6279
5.8025e-05	12.796	2.1597
0.00010713	12.817	1.5933
0.00013979	12.837	1.0792
3.1803e-05	12.858	1.5257
0.00014585	12.879	0.98999
7.9875e-05	12.9	1.589
4.6408e-05	12.921	1.8635
9.5948e-05	12.942	-0.45909
7.0868e-05	12.963	2.2853
2.2325e-05	12.984	0.64376
2.1637e-05	13.005	2.2535
2.446e-06	13.026	-2.8633
8.2202e-05	13.047	0.91116
9.7748e-05	13.068	-3.0064
3.3072e-05	13.089	2.2739
2.1241e-05	13.11	-0.78555
4.7029e-05	13.131	1.3079
4.3376e-05	13.152	-0.82633
0.0001048	13.173	-0.35366
3.4186e-05	13.193	0.21806
5.6834e-05	13.214	-0.4372
4.1695e-05	13.235	-2.2087
3.6505e-05	13.256	-0.55474
4.7198e-05	13.277	-1.2581
7.2963e-05	13.298	-0.77116
8.8217e-05	13.319	-1.5557
0.00010194	13.34	-1.6894
7.326e-05	13.361	-1.2504
0.00014217	13.382	-2.105
7.8155e-05	13.403	-2.397
8.8408e-05	13.424	2.8837
0.00010144	13.445	-2.7079
7.1153e-05	13.466	-1.0087
6.4775e-05	13.487	0.19948
7.3121e-05	13.508	3.0553
1.7145e-05	13.529	3.0098
3.9111e-05	13.549	-2.8989
5.4316e-05	13.57	-1.6558
3.5701e-05	13.591	-1.1899
1.0792e-05	13.612	2.3813
5.9307e-05	13.633	1.0935
6.1287e-05	13.654	2.9896
3.0846e-05	13.675	-2.9175
4.2802e-05	13.696	-2.9795
8.1874e-05	13.717	0.8364
7.2018e-05	13.738	1.7973
5.1169e-05	13.759	1.3978
6.3341e-05	13.78	1.6292
6.617e-05	13.801	-2.8401
6.3524e-05	13.822	0.57558
0.00010909	13.843	0.85838
2.3654e-05	13.864	-2.1772
7.3511e-05	13.885	-2.3478
4.168e-05	13.905	2.5363
8.6171e-05	13.926	-1.9168
7.1556e-05	13.947	-3.1197
5.3735e-05	13.968	0.88223
5.3233e-05	13.989	2.4542
6.8506e-05	14.01	2.2059
3.1518e-05	14.031	-1.0032
6.6205e-05	14.052	0.99904
7.3113e-05	14.073	2.2362
7.9801e-05	14.094	-2.5924
1.8303e-05	14.115	-1.0509
6.1788e-05	14.136	1.6459
4.1996e-05	14.157	0.86091
5.2223e-05	14.178	-0.9075
3.9156e-05	14.199	-0.060034
8.829e-05	14.22	-1.1834
2.3404e-05	14.241	-1.1185
3.8312e-05	14.262	-2.4132
1.6853e-05	14.282	-1.3278
5.0695e-05	14.303	-1.3357
8.4999e-05	14.324	0.57814
5.2507e-05	14.345	-0.52143
6.3575e-05	14.366	-1.9516
2.3684e-05	14.387	-1.0563
0.00014592	14.408	-2.1976
4.1022e-05	14.429	2.524
4.6589e-05	14.45	2.9204
3.8831e-05	14.471	-3.0679
8.8703e-05	14.492	2.2094
